date,ticker,measure,value
2016-06-30,AMZN,cost_of_revenue,19180000000.0
2016-09-30,AMZN,cost_of_revenue,21260000000.0
2016-12-31,AMZN,cost_of_revenue,28959000000.0
2017-03-31,AMZN,cost_of_revenue,22440000000.0
2017-06-30,AMZN,cost_of_revenue,23451000000.0
2017-09-30,AMZN,cost_of_revenue,27549000000.0
2017-12-31,AMZN,cost_of_revenue,38494000000.0
2018-03-31,AMZN,cost_of_revenue,30735000000.0
2018-06-30,AMZN,cost_of_revenue,30632000000.0
2018-09-30,AMZN,cost_of_revenue,33003000000.0
2018-12-31,AMZN,cost_of_revenue,44786000000.0
2019-03-31,AMZN,cost_of_revenue,33920000000.0
2019-06-30,AMZN,cost_of_revenue,36337000000.0
2019-09-30,AMZN,cost_of_revenue,41302000000.0
2019-12-31,AMZN,cost_of_revenue,53977000000.0
2020-03-31,AMZN,cost_of_revenue,44257000000.0
2020-06-30,AMZN,cost_of_revenue,52660000000.0
2020-09-30,AMZN,cost_of_revenue,57106000000.0
2020-12-31,AMZN,cost_of_revenue,79284000000.0
2021-03-31,AMZN,cost_of_revenue,62403000000.0
2021-06-30,AMZN,cost_of_revenue,64176000000.0
2021-09-30,AMZN,cost_of_revenue,62930000000.0
2021-12-31,AMZN,cost_of_revenue,82835000000.0
2022-03-31,AMZN,cost_of_revenue,66499000000.0
2022-06-30,AMZN,cost_of_revenue,66424000000.0
2022-09-30,AMZN,cost_of_revenue,70268000000.0
2022-12-31,AMZN,cost_of_revenue,85640000000.0
2023-03-31,AMZN,cost_of_revenue,67791000000.0
2023-06-30,AMZN,cost_of_revenue,69373000000.0
2023-09-30,AMZN,cost_of_revenue,75022000000.0
2023-12-31,AMZN,cost_of_revenue,92553000000.0
2024-03-31,AMZN,cost_of_revenue,72633000000.0
2024-06-30,AMZN,cost_of_revenue,73785000000.0
2024-09-30,AMZN,cost_of_revenue,80977000000.0
2024-12-31,AMZN,cost_of_revenue,98893000000.0
2025-03-31,AMZN,cost_of_revenue,76976000000.0
2025-06-30,AMZN,cost_of_revenue,80809000000.0
2025-09-30,AMZN,cost_of_revenue,88670000000.0
2025-12-31,AMZN,cost_of_revenue,109959000000.0
2015-03-31,AMZN,gross_profit,7322000000.0
2015-06-30,AMZN,gross_profit,8025000000.0
2015-09-30,AMZN,gross_profit,8603000000.0
2015-12-31,AMZN,gross_profit,11406000000.0
2016-03-31,AMZN,gross_profit,10262000000.0
2016-06-30,AMZN,gross_profit,11224000000.0
2016-09-30,AMZN,gross_profit,11454000000.0
2016-12-31,AMZN,gross_profit,14782000000.0
2017-03-31,AMZN,gross_profit,13274000000.0
2017-06-30,AMZN,gross_profit,14504000000.0
2017-09-30,AMZN,gross_profit,16195000000.0
2017-12-31,AMZN,gross_profit,21959000000.0
2018-03-31,AMZN,gross_profit,20307000000.0
2018-06-30,AMZN,gross_profit,22254000000.0
2018-09-30,AMZN,gross_profit,23573000000.0
2018-12-31,AMZN,gross_profit,27597000000.0
2019-03-31,AMZN,gross_profit,25780000000.0
2019-06-30,AMZN,gross_profit,27067000000.0
2019-09-30,AMZN,gross_profit,28679000000.0
2019-12-31,AMZN,gross_profit,33460000000.0
2020-03-31,AMZN,gross_profit,31195000000.0
2020-06-30,AMZN,gross_profit,36252000000.0
2020-09-30,AMZN,gross_profit,39039000000.0
2020-12-31,AMZN,gross_profit,46271000000.0
2021-03-31,AMZN,gross_profit,46115000000.0
2021-06-30,AMZN,gross_profit,48904000000.0
2021-09-30,AMZN,gross_profit,47882000000.0
2021-12-31,AMZN,gross_profit,54577000000.0
2022-03-31,AMZN,gross_profit,49945000000.0
2022-06-30,AMZN,gross_profit,54810000000.0
2022-09-30,AMZN,gross_profit,56833000000.0
2022-12-31,AMZN,gross_profit,63564000000.0
2023-03-31,AMZN,gross_profit,59567000000.0
2023-06-30,AMZN,gross_profit,65010000000.0
2023-09-30,AMZN,gross_profit,68061000000.0
2023-12-31,AMZN,gross_profit,77408000000.0
2024-03-31,AMZN,gross_profit,70680000000.0
2024-06-30,AMZN,gross_profit,74192000000.0
2024-09-30,AMZN,gross_profit,77900000000.0
2024-12-31,AMZN,gross_profit,88899000000.0
2025-03-31,AMZN,gross_profit,78691000000.0
2025-06-30,AMZN,gross_profit,86893000000.0
2025-09-30,AMZN,gross_profit,91499000000.0
2025-12-31,AMZN,gross_profit,103427000000.0
2014-12-31,AMZN,net_income,214000000.0
2015-03-31,AMZN,net_income,-57000000.0
2015-06-30,AMZN,net_income,92000000.0
2015-09-30,AMZN,net_income,79000000.0
2015-12-31,AMZN,net_income,482000000.0
2016-03-31,AMZN,net_income,513000000.0
2016-06-30,AMZN,net_income,857000000.0
2016-09-30,AMZN,net_income,252000000.0
2016-12-31,AMZN,net_income,749000000.0
2017-03-31,AMZN,net_income,724000000.0
2017-06-30,AMZN,net_income,197000000.0
2017-09-30,AMZN,net_income,256000000.0
2017-12-31,AMZN,net_income,1856000000.0
2018-03-31,AMZN,net_income,1629000000.0
2018-06-30,AMZN,net_income,2534000000.0
2018-09-30,AMZN,net_income,2883000000.0
2018-12-31,AMZN,net_income,3027000000.0
2019-03-31,AMZN,net_income,3561000000.0
2019-06-30,AMZN,net_income,2625000000.0
2019-09-30,AMZN,net_income,2134000000.0
2019-12-31,AMZN,net_income,3268000000.0
2020-03-31,AMZN,net_income,2535000000.0
2020-06-30,AMZN,net_income,5243000000.0
2020-09-30,AMZN,net_income,6331000000.0
2020-12-31,AMZN,net_income,7222000000.0
2021-03-31,AMZN,net_income,8107000000.0
2021-06-30,AMZN,net_income,7778000000.0
2021-09-30,AMZN,net_income,3156000000.0
2021-12-31,AMZN,net_income,14323000000.0
2022-03-31,AMZN,net_income,-3844000000.0
2022-06-30,AMZN,net_income,-2028000000.0
2022-09-30,AMZN,net_income,2872000000.0
2022-12-31,AMZN,net_income,278000000.0
2023-03-31,AMZN,net_income,3172000000.0
2023-06-30,AMZN,net_income,6750000000.0
2023-09-30,AMZN,net_income,9879000000.0
2023-12-31,AMZN,net_income,10624000000.0
2024-03-31,AMZN,net_income,10431000000.0
2024-06-30,AMZN,net_income,13485000000.0
2024-09-30,AMZN,net_income,15328000000.0
2024-12-31,AMZN,net_income,20004000000.0
2025-03-31,AMZN,net_income,17127000000.0
2025-06-30,AMZN,net_income,18164000000.0
2025-09-30,AMZN,net_income,21187000000.0
2025-12-31,AMZN,net_income,21192000000.0
2014-12-31,AMZN,operating_income,591000000.0
2015-03-31,AMZN,operating_income,255000000.0
2015-06-30,AMZN,operating_income,464000000.0
2015-09-30,AMZN,operating_income,406000000.0
2015-12-31,AMZN,operating_income,1108000000.0
2016-03-31,AMZN,operating_income,1071000000.0
2016-06-30,AMZN,operating_income,1285000000.0
2016-09-30,AMZN,operating_income,575000000.0
2016-12-31,AMZN,operating_income,1255000000.0
2017-03-31,AMZN,operating_income,1005000000.0
2017-06-30,AMZN,operating_income,628000000.0
2017-09-30,AMZN,operating_income,347000000.0
2017-12-31,AMZN,operating_income,2127000000.0
2018-03-31,AMZN,operating_income,1927000000.0
2018-06-30,AMZN,operating_income,2983000000.0
2018-09-30,AMZN,operating_income,3724000000.0
2018-12-31,AMZN,operating_income,3786000000.0
2019-03-31,AMZN,operating_income,4420000000.0
2019-06-30,AMZN,operating_income,3084000000.0
2019-09-30,AMZN,operating_income,3157000000.0
2019-12-31,AMZN,operating_income,3879000000.0
2020-03-31,AMZN,operating_income,3989000000.0
2020-06-30,AMZN,operating_income,5843000000.0
2020-09-30,AMZN,operating_income,6194000000.0
2020-12-31,AMZN,operating_income,6873000000.0
2021-03-31,AMZN,operating_income,8865000000.0
2021-06-30,AMZN,operating_income,7702000000.0
2021-09-30,AMZN,operating_income,4852000000.0
2021-12-31,AMZN,operating_income,3460000000.0
2022-03-31,AMZN,operating_income,3669000000.0
2022-06-30,AMZN,operating_income,3317000000.0
2022-09-30,AMZN,operating_income,2525000000.0
2022-12-31,AMZN,operating_income,2737000000.0
2023-03-31,AMZN,operating_income,4774000000.0
2023-06-30,AMZN,operating_income,7681000000.0
2023-09-30,AMZN,operating_income,11188000000.0
2023-12-31,AMZN,operating_income,13209000000.0
2024-03-31,AMZN,operating_income,15307000000.0
2024-06-30,AMZN,operating_income,14672000000.0
2024-09-30,AMZN,operating_income,17411000000.0
2024-12-31,AMZN,operating_income,21203000000.0
2025-03-31,AMZN,operating_income,18405000000.0
2025-06-30,AMZN,operating_income,19171000000.0
2025-09-30,AMZN,operating_income,17422000000.0
2025-12-31,AMZN,operating_income,24977000000.0
2014-12-31,AMZN,revenue,29328000000.0
2015-03-31,AMZN,revenue,22717000000.0
2015-06-30,AMZN,revenue,23185000000.0
2015-09-30,AMZN,revenue,25358000000.0
2015-12-31,AMZN,revenue,35747000000.0
2016-03-31,AMZN,revenue,29128000000.0
2016-06-30,AMZN,revenue,30404000000.0
2016-09-30,AMZN,revenue,32714000000.0
2016-12-31,AMZN,revenue,43741000000.0
2017-03-31,AMZN,revenue,35714000000.0
2017-06-30,AMZN,revenue,37955000000.0
2017-09-30,AMZN,revenue,43744000000.0
2017-12-31,AMZN,revenue,60453000000.0
2018-03-31,AMZN,revenue,51042000000.0
2018-06-30,AMZN,revenue,52886000000.0
2018-09-30,AMZN,revenue,56576000000.0
2018-12-31,AMZN,revenue,72383000000.0
2019-03-31,AMZN,revenue,59700000000.0
2019-06-30,AMZN,revenue,63404000000.0
